id,1999,2009
An Giang,2,1
Bà Rịa - Vũng Tàu,1,1
Bắc Giang,0,2
Bắc Kạn,0,0
Bạc Liêu,2,1
Bắc Ninh,0,2
Bến Tre,1,1
Bình Định,1,1
Bình Dương,1,0
Bình Phước,2,1
Bình Thuận,0,1
Cà Mau,1,1
Cần Thơ,1,1
Cao Bằng,2,0
Đà Nẵng,1,0
Đắk Lắk,0,0
Đắk Nông,,0
Điện Biên,,0
Đồng Nai,0,1
Đồng Tháp,0,1
Gia Lai,1,0
Hà Giang,1,0
Hà Nam,1,1
Hà Nội,1,1
Hà Tĩnh,1,0
Hải Dương,2,2
Hải Phòng,2,2
Hậu Giang,,1
Hoà Bình,1,2
Hưng Yên,0,2
Khánh Hoà,1,1
Kiên Giang,2,1
Kon Tum,2,0
Lai Châu,2,0
Lâm Đồng,0,1
Lạng Sơn,1,0
Lào Cai,0,1
Long An,1,0
Nam Định,0,2
Nghệ An,0,0
Ninh Bình,0,1
Ninh Thuận,2,1
Phú Thọ,2,1
Phú Yên,0,1
Quảng Bình,1,0
Quảng Nam,0,1
Quảng Ngãi,0,2
Quảng Ninh,2,2
Quảng Trị,0,0
Sóc Trăng,2,1
Sơn La,2,0
Tây Ninh,0,1
Thái Bình,0,1
Thái Nguyên,1,1
Thanh Hoá,2,1
Thừa Thiên - Huế,0,1
Tiền Giang,0,1
Thành phố Hồ Chí Minh,1,1
Trà Vinh,2,1
Tuyên Quang,1,0
Vĩnh Long,0,1
Vĩnh Phúc,0,1
Yên Bái,1,1
